Langue,Extension,Code,Nom de la carte,Rareté,1st Edition,Unlimited,Limited / Autre,Quantité,N° Artwork,Reprint
Français (France),DDY,DDY-F026,Attaque en Double Fourche,C,,NM,,2,,
Français (France),DDY,DDY-F027,Exorcisme,C,,NM,,3,,
Français (France),DDY,DDY-F027,Exorcisme,C,NM,,,1,,
Français (France),DDY,DDY-F028,Monster Reborn,C,,NM,,5,,
Français (France),DDY,DDY-F029,Renforts,C,,NM,,2,,
Français (France),DDY,DDY-F030,Changement de Coeur,C,NM,,,2,,
Français (France),DDY,DDY-F031,Le Verso Mystique,C,,NM,,12,,
Français (France),DDY,DDY-F032,Mur des Illusions,C,,NM,,2,,
Français (France),DDY,DDY-F033,Baron de l'Épée Infernale,C,,NM,,3,,
Français (France),DDY,DDY-F034,Sorcier des Damnés,C,,NM,,3,,
Français (France),DDY,DDY-F035,Dernière Volonté,C,,NM,,1,,
Français (France),DDY,DDY-F036,Waboku,C,NM,,,1,,
Français (France),DDY,DDY-F037,Bourse des Âmes,SR,NM,,,2,,
Français (France),DDY,DDY-F038,Destruction de Carte,SR,NM,,,2,,
Français (France),DDY,DDY-F039,Maître des Pièges,C,,NM,,1,,
Français (France),DDY,DDY-F040,Jarre de Capture du Dragon,C,,NM,,1,,
Français (France),DDY,DDY-F041,Yami,C,NM,,,2,,
Français (France),DDY,DDY-F042,Insecte Mangeur d'Hommes,C,NM,,,2,,
Français (France),DDY,DDY-F043,Piège Inversé,C,,NM,,5,,
Français (France),DDY,DDY-F044,Piège Supprimé,C,,NM,,4,,
Français (France),DDY,DDY-F045,Enceinte de Château,C,,NM,,1,,
Français (France),DDY,DDY-F046,Offrande Suprême,C,,NM,,2,,
Français (France),MRD,MRD-F014,Masque des Ténèbres,R,NM,,,1,,
Français (France),MRD,MRD-F029,Scorpion d'Acier,C,,NM,,1,,
Français (France),MRD,MRD-F039,Habitant des Profondeurs,C,,NM,,1,,
Français (France),MRD,MRD-F047,Monstre Pâle,C,,NM,,1,,
Français (France),MRD,MRD-F048,Lézard Électrique,C,,NM,,1,,
Français (France),MRD,MRD-F066,Saggi le Clown des Ténèbres,C,NM,,,1,,
Français (France),MRD,MRD-F069,Sangan,R,,NM,,1,,
Français (France),MRD,MRD-F070,Grand Papillon,R,NM,,,2,,
Français (France),MRD,MRD-F090,Goule d'Ombre,R,NM,,,1,,
Français (France),MRD,MRD-F102,Hoshiningen,R,NM,,,1,,
Français (France),MRD,MRD-F107,Muka Muka,R,NM,,,1,,
Français (France),MRD,MRD-F132,Épée des Profondeurs,C,,NM,,1,,
Français (France),MRD,MRD-F135,Gobelin de Robbin,R,,NM,,1,,
Français (France),MDM,MDM-F001,Chevalier Pingouin,C,NM,,,1,,
Français (France),MDM,MDM-F003,Pendentif Noir,SR,,NM,,1,,
Français (France),MDM,MDM-F007,Poisson Métallique,C,,NM,,1,,
Français (France),MDM,MDM-F008,Serpent Électrique,C,,NM,,2,,
Français (France),MDM,MDM-F008,Serpent Électrique,C,NM,,,3,,
Français (France),MDM,MDM-F009,Reine Oiseau,C,,NM,,1,,
Français (France),MDM,MDM-F010,Ameba,R,,NM,,1,,
Français (France),MDM,MDM-F010,Ameba,R,,NM,,1,,
Français (France),MDM,MDM-F011,Paon,C,,NM,,1,,
Français (France),MDM,MDM-F012,Maha Vailo,SR,,NM,,1,,
Français (France),MDM,MDM-F013,Gardien de la Salle du Trône,C,,NM,,1,,
Français (France),MDM,MDM-F014,Kraken de Feu,C,,NM,,1,,
Français (France),MDM,MDM-F015,Minar,C,NM,,,4,,
Français (France),MDM,MDM-F017,Tyhone N°2,C,,NM,,1,,
Français (France),MDM,MDM-F017,Tyhone N°2,C,,NM,,1,,
Français (France),MDM,MDM-F018,L'Ancien de la Forêt,C,,NM,,1,,
Français (France),MDM,MDM-F020,Bulletin Météo,C,NM,,,1,,
Français (France),MDM,MDM-F022,Tortue Géante Mangeuse de Flammes,C,,NM,,1,,
Français (France),MDM,MDM-F023,Bête Liquéfiée,C,,NM,,1,,
Français (France),MDM,MDM-F023,Bête Liquéfiée,C,,NM,,1,,
Français (France),MDM,MDM-F023,Bête Liquéfiée,C,NM,,,1,,
Français (France),MDM,MDM-F025,Gyojin du Raz-de-Marée,C,,NM,,1,,
Français (France),MDM,MDM-F027,Corbeau à Fouet,C,,NM,,1,,
Français (France),MDM,MDM-F030,Archère Pourpre,C,,NM,,1,,
Français (France),MDM,MDM-F033,Gobelin parvenu,C,,NM,,1,,
Français (France),MDM,MDM-F033,Gobelin parvenu,C,,NM,,1,,
Français (France),MDM,MDM-F035,Destin Final,C,,NM,,1,,
Français (France),MDM,MDM-F037,Choeur du Sanctuaire,C,,NM,,1,,
Français (France),MDM,MDM-F038,Confiscation,SR,NM,,,1,,
Français (France),MDM,MDM-F041,Miroir de Fée,C,,NM,,1,,
Français (France),MDM,MDM-F043,Charge Intrépide,R,,NM,,1,,
Français (France),MDM,MDM-F043,Charge Intrépide,R,,NM,,1,,
Français (France),MDM,MDM-F046,Énergie en Chaîne,C,,NM,,1,,
Français (France),MDM,MDM-F049,Choix Douloureux,SR,,NM,,1,,
Français (France),MDM,MDM-F049,Choix Douloureux,SR,,NM,,1,,
Français (France),MDM,MDM-F050,Crochet de Serpent,C,,NM,,1,,
Français (France),MDM,MDM-F050,Crochet de Serpent,C,,NM,,1,,
Français (France),MDM,MDM-F052,Octoberser,C,,NM,,1,,
Français (France),MDM,MDM-F055,Mur du Labyrinthe,C,,NM,,1,,
Français (France),MDM,MDM-F056,Ombre du Mur,C,NM,,,1,,
Français (France),MDM,MDM-F056,Ombre du Mur,C,,NM,,1,,
Français (France),MDM,MDM-F058,Ogre de Granit Grotto,C,,NM,,1,,
Français (France),MDM,MDM-F059,Labyrinthe Magique,C,,NM,,1,,
Français (France),MDM,MDM-F059,Labyrinthe Magique,C,,NM,,1,,
Français (France),MDM,MDM-F060,Repos Éternel,C,,NM,,1,,
Français (France),MDM,MDM-F062,Danse Inaugurale,C,,NM,,1,,
Français (France),MDM,MDM-F062,Danse Inaugurale,C,,NM,,1,,
Français (France),MDM,MDM-F064,Maison du Ruban Adhésif,C,,NM,,2,,
Français (France),MDM,MDM-F065,Mangegaboon,C,,NM,,1,,
Français (France),MDM,MDM-F067,Performance de l'Épée,C,NM,,,1,,
Français (France),MDM,MDM-F068,Burger Affamé,C,NM,,,1,,
Français (France),MDM,MDM-F069,Crabe-Tortue,C,NM,,,1,,
Français (France),MDM,MDM-F071,Manga Ryu-Ran,R,,NM,,1,,
Français (France),MDM,MDM-F074,Jigen Bakudan,C,NM,,,1,,
Français (France),MDM,MDM-F077,Cyberjarre,R,,NM,,1,,
Français (France),MDM,MDM-F078,Chasseur de la Lumière,SR,,NM,,1,,
Français (France),MDM,MDM-F080,Senju aux Mille Mains,R,,NM,,1,,
Français (France),MDM,MDM-F081,Tortue OVNI,R,,NM,,1,,
Français (France),MDM,MDM-F081,Tortue OVNI,R,,NM,,1,,
Français (France),MDM,MDM-F082,Attaquant Éclair,C,NM,,,1,,
Français (France),MDM,MDM-F082,Attaquant Éclair,C,,NM,,1,,
Français (France),MDM,MDM-F084,Zèbre des Ténèbres,C,,NM,,1,,
Français (France),MDM,MDM-F085,Germe Géant,R,,NM,,1,,
Français (France),MDM,MDM-F086,Momonga Agile,R,,NM,,1,,
Français (France),MDM,MDM-F087,Familier des Ténèbres,C,NM,,,3,,
Français (France),MDM,MDM-F088,Ange Lumineux,R,,NM,,1,,
Français (France),MDM,MDM-F090,Mère Grizzly,R,,NM,,1,,
Français (France),MDM,MDM-F092,Cloche de Cérémonie,C,,NM,,1,,
Français (France),MDM,MDM-F092,Cloche de Cérémonie,C,NM,,,4,,
Français (France),MDM,MDM-F093,Oiseau Supersonique,C,NM,,,2,,
Français (France),MDM,MDM-F094,Tomate Mystique,R,,NM,,1,,
Français (France),MDM,MDM-F095,Kotodama,C,NM,,,1,,
Français (France),MDM,MDM-F097,Umiiruka,C,,NM,,1,,
Français (France),MDM,MDM-F100,Éclat Lumineux,C,,NM,,1,,
Français (France),MDM,MDM-F101,Zone de Plasma Mystique,C,,NM,,1,,
Français (France),MDM,MDM-F103,Guerrier Castor,C,,NM,,1,,
Français (France),MDM,MDM-F105,Néo le Spadassin Magique,C,NM,,,1,,
Français (France),MDM,MDM-F105,Néo le Spadassin Magique,C,,NM,,1,,
Français (France),MDM,MDM-F106,Coffre Mangeur d'Hommes,C,,NM,,1,,
Français (France),MDM,MDM-F106,Coffre Mangeur d'Hommes,C,,NM,,1,,
Français (France),MDM,MDM-F107,Géant Hitotsu-Me,C,,NM,,1,,
Français (France),MDM,MDM-F111,Spadassin des Flammes,C,,NM,,1,,
Français (France),MDM,MDM-F112,Jugement Cauchemardesque,C,NM,,,1,,
Français (France),MDM,MDM-F114,Petit Ange,C,,NM,,1,,
Français (France),MDM,MDM-F116,Masaki le Spadassin Légendaire,C,,NM,,1,,
Français (France),MDM,MDM-F117,Kurama,C,,NM,,1,,
Français (France),MDM,MDM-F117,Kurama,C,,NM,,1,,
Français (France),MDM,MDM-F121,Guerrier Karbonala,C,,NM,,1,,
Français (France),MDM,MDM-F122,Larvas,C,,NM,,1,,
Français (France),MDM,MDM-F123,M-Guerrier N°1,C,,NM,,1,,
Français (France),MDM,MDM-F125,Panda Fou,C,,NM,,1,,
Français (France),MDM,MDM-F126,Dragoness le Chevalier Malfaisant,C,,NM,,1,,
Français (France),MDM,MDM-F127,Dragon Bouclier à un Oeil,C,,NM,,1,,
Français (France),MDM,MDM-F128,Grès,C,NM,,,1,,
Français (France),MDM,MDM-F128,Grès,C,,NM,,1,,
Français (France),MDM,MDM-F129,Pot de Cupidité,R,,NM,,1,,
Français (France),MDM,MDM-F130,Dragon-Serpent Nocturne,SCR,NM,,,1,,
Anglais (US),MRL,MRL-086,Nimble Momonga,R,,NM,,1,,
Français (France),TP1,TP1-F007,Carapace d'Acier,R,,NM,,1,,
Français (France),SDP,SDP-F001,Ogre d'Acier Grotto N°2,C,NM,,,1,,
Français (France),SDP,SDP-F002,Geedo à Trois Têtes,C,NM,,,1,,
Français (France),SDP,SDP-F004,Brelan de 7,C,NM,,,1,,
Français (France),SDP,SDP-F010,L'Oeil de la Vérité,C,NM,,,1,,
Français (France),SDP,SDP-F013,Livre de Loi de Salomon,C,NM,,,1,,
Français (France),SDP,SDP-F014,Secousse Sismique,C,NM,,,1,,
Français (France),SDP,SDP-F015,Javelot Enchanté,C,NM,,,1,,
Français (France),SDP,SDP-F017,Rafale,C,NM,,,1,,
Français (France),SDP,SDP-F018,Neige Impérieuse,C,NM,,,1,,
Français (France),SDP,SDP-F019,Cuirasse de Verre,C,NM,,,1,,
Français (France),SDP,SDP-F020,Suppression du Monde,C,NM,,,1,,
Français (France),SDP,SDP-F027,Règles Tribales,C,NM,,,1,,
Français (France),SDP,SDP-F032,Jouer Carte sur Table,C,NM,,,1,,
Français (France),SDP,SDP-F042,Dragon de Feu à Deux Têtes,C,NM,,,1,,
Français (France),SDP,SDP-F043,Soldat du Feu Noir N°1,C,NM,,,1,,
Français (France),SDP,SDP-F044,M. Volcano,C,NM,,,1,,
Français (France),SDP,SDP-F045,Soldat du Feu Noir N°2,C,NM,,,1,,
Français (France),SDP,SDP-F047,Cyberfaucon,C,NM,,,1,,
Français (France),SDP,SDP-F053,Gamble,C,NM,,,1,,
Français (France),SDP,SDP-F058,Chauve-Souris Sinistre,C,NM,,,1,,
Français (France),SDP,SDP-F069,Trou Dimensionnel,R,,NM,,1,,
Français (France),SDP,SDP-F071,Drainage Magique,R,,NM,,1,,
Français (France),SDP,SDP-F091,Bête Folle à l'Épée,R,,NM,,1,,
Français (France),LDC,LDC-F004,Ver - Drakonien,C,NM,,,3,,
Français (France),LDC,LDC-F009,Abysse Étincelante,C,NM,,,2,,
Français (France),LDC,LDC-F010,Soldat Gadget,C,NM,,,1,,
Français (France),LDC,LDC-F016,Malédiction de la Bête Masquée,C,NM,,,2,,
Français (France),LDC,LDC-F030,Dame Panthère,C,,NM,,1,,
Français (France),LDC,LDC-F035,Assaillante des Flammes,C,NM,,,1,,
Français (France),LDC,LDC-F041,Sirène Guérisseuse,C,NM,,,1,,
Français (France),LDC,LDC-F043,Bio-Mage,C,NM,,,2,,
Français (France),LDC,LDC-F044,La Vierge Clémente,C,NM,,,2,,
Français (France),LDC,LDC-F051,Offrance aux Damnés,C,NM,,,2,,
Français (France),LDC,LDC-F052,Le Secret du Portrait,C,NM,,,2,,
Français (France),LDC,LDC-F054,Chevalier sans Tête,C,NM,,,1,,
Français (France),LDC,LDC-F056,Le Comte Déchu,C,NM,,,1,,
Français (France),LDC,LDC-F057,Boneheimer,C,NM,,,1,,
Français (France),LDC,LDC-F058,Danseur des Flammes,C,NM,,,1,,
Français (France),LDC,LDC-F059,Lady Sphyra,C,NM,,,1,,
Français (France),LDC,LDC-F060,Congre Foudroyant,C,NM,,,1,,
Français (France),LDC,LDC-F071,Gilasaure,R,,NM,,1,,
Français (France),LDC,LDC-F075,Ravitaillement,C,NM,,,1,,
Français (France),LDC,LDC-F083,Récompense du Profanateur de Tombes,C,NM,,,1,,
Français (France),LDC,LDC-F084,Le Pacte des Fantômes,C,NM,,,3,,
Français (France),LDC,LDC-F086,Destruction Aveugle,C,NM,,,2,,
Français (France),LDC,LDC-F087,Les Vacances de l'Empereur,C,NM,,,2,,
Français (France),LDC,LDC-F093,La Porte des Ténèbres,C,NM,,,2,,
Français (France),LDC,LDC-F102,Élimination Spirit,C,NM,,,1,,
Français (France),DDJ,DDJ-F001,Dragon Noir aux Yeux Rouges,U,,NM,,1,,
Français (France),DDJ,DDJ-F001,Dragon Noir aux Yeux Rouges,U,NM,,,1,,
Français (France),DDJ,DDJ-F002,Le Spadassin de Landstar,C,NM,,,1,,
Français (France),DDJ,DDJ-F003,Bébé Dragon,C,NM,,,1,,
Français (France),DDJ,DDJ-F004,Esprit de la Harpe,C,NM,,,1,,
Français (France),DDJ,DDJ-F005,Tortue Île,C,,NM,,1,,
Français (France),DDJ,DDJ-F005,Tortue Île,C,NM,,,1,,
Français (France),DDJ,DDJ-F006,Manipulateur de Flammes,C,NM,,,1,,
Français (France),DDJ,DDJ-F007,Masaki le Spadassin Légendaire,C,NM,,,1,,
Français (France),DDJ,DDJ-F008,Poisson aux 7 Couleurs,C,,NM,,1,,
Français (France),DDJ,DDJ-F008,Poisson aux 7 Couleurs,C,NM,,,1,,
Français (France),DDJ,DDJ-F009,Lézard Cuirassé,C,NM,,,1,,
Français (France),DDJ,DDJ-F010,Soldat du Feu Noir N°1,C,,NM,,2,,
Français (France),DDJ,DDJ-F011,Éclaireur du Ciel,C,NM,,,1,,
Français (France),DDJ,DDJ-F012,Gearfried le Chevalier de Fer,C,NM,,,1,,
Français (France),DDJ,DDJ-F013,Karatéka,C,NM,,,1,,
Français (France),DDJ,DDJ-F014,Milus Radieux,C,NM,,,1,,
Français (France),DDJ,DDJ-F015,Magicien du Temps,C,NM,,,1,,
Français (France),DDJ,DDJ-F016,Maha Vailo,C,NM,,,1,,
Français (France),DDJ,DDJ-F017,Magicien de la Foi,C,NM,,,1,,
Français (France),DDJ,DDJ-F018,Gros Oeil,C,,NM,,2,,
Français (France),DDJ,DDJ-F018,Gros Oeil,C,NM,,,1,,
Français (France),DDJ,DDJ-F019,Sangan,C,NM,,,1,,
Français (France),DDJ,DDJ-F020,Princesse de Tsurugi,C,NM,,,1,,
Français (France),DDJ,DDJ-F020,Princesse de Tsurugi,C,,NM,,1,,
Français (France),DDJ,DDJ-F021,Chapeau Magique Blanc,C,NM,,,1,,
Français (France),DDJ,DDJ-F022,Soldat Pingouin,SR,NM,,,1,,
Français (France),DDJ,DDJ-F023,Dragon Millénaire,C,,NM,,1,,
Français (France),DDJ,DDJ-F024,Spadassin des Flammes,C,NM,,,1,,
Français (France),DDJ,DDJ-F025,Nuzzler Maléfique,C,NM,,,1,,
Français (France),DDJ,DDJ-F026,Trou Noir,C,NM,,,1,,
Français (France),DDJ,DDJ-F027,Dian Keto le Maître Guérisseur,C,NM,,,1,,
Français (France),DDJ,DDJ-F027,Dian Keto le Maître Guérisseur,C,,NM,,2,,
Français (France),DDJ,DDJ-F028,Fissure,C,,NM,,1,,
Français (France),DDJ,DDJ-F028,Fissure,C,NM,,,1,,
Français (France),DDJ,DDJ-F029,Exorcisme,C,NM,,,1,,
Français (France),DDJ,DDJ-F030,Changement de Coeur,C,NM,,,1,,
Français (France),DDJ,DDJ-F031,Blocage d'Attaque,C,NM,,,1,,
Français (France),DDJ,DDJ-F032,Tornade Géante,C,NM,,,1,,
Français (France),DDJ,DDJ-F033,Le Gardien Fiable,C,,NM,,1,,
Français (France),DDJ,DDJ-F033,Le Gardien Fiable,C,NM,,,1,,
Français (France),DDJ,DDJ-F034,Piège Supprimé,C,NM,,,1,,
Français (France),DDJ,DDJ-F035,Monster Reborn,C,NM,,,2,,
Français (France),DDJ,DDJ-F036,Polymérisation,C,,NM,,1,,
Français (France),DDJ,DDJ-F036,Polymérisation,C,NM,,,1,,
Français (France),DDJ,DDJ-F037,Montagne,C,NM,,,2,,
Français (France),DDJ,DDJ-F038,Trésor de Dragon,C,NM,,,1,,
Français (France),DDJ,DDJ-F039,Repos Éternel,C,NM,,,1,,
Français (France),DDJ,DDJ-F040,Bouclier et Épée,C,PL,,,1,,
Français (France),DDJ,DDJ-F041,Bouc Émissaire,SR,,NM,,1,,
Français (France),DDJ,DDJ-F042,Desserts Seuls,C,NM,,,1,,
Français (France),DDJ,DDJ-F042,Desserts Seuls,C,,NM,,2,,
Français (France),DDJ,DDJ-F043,Trappe,C,NM,,,1,,
Français (France),DDJ,DDJ-F043,Trappe,C,,NM,,2,,
Français (France),DDJ,DDJ-F044,Renforts,C,,NM,,2,,
Français (France),DDJ,DDJ-F044,Renforts,C,NM,,,1,,
Français (France),DDJ,DDJ-F045,Enceinte de Château,C,,NM,,1,,
Français (France),DDJ,DDJ-F045,Enceinte de Château,C,NM,,,1,,
Français (France),DDJ,DDJ-F046,Waboku,C,NM,,,1,,
Français (France),DDJ,DDJ-F046,Waboku,C,,NM,,1,,
Français (France),DDJ,DDJ-F047,Offrande Suprême,C,NM,,,3,,
Français (France),DDJ,DDJ-F048,Sept Outils du Bandit,C,,NM,,1,,
Français (France),DDJ,DDJ-F048,Sept Outils du Bandit,C,NM,,,1,,
Français (France),DDJ,DDJ-F049,Piège Truqué,C,NM,,,1,,
Français (France),DDJ,DDJ-F050,Piège Inversé,C,NM,,,1,,
Français (France),DDP,DDP-F001,Le Renoncé,U,NM,,,1,,
Français (France),DDP,DDP-F001,Le Renoncé,U,NM,,,1,,
Français (France),DDP,DDP-F002,Archère Pourpre,C,,NM,,1,,
Français (France),DDP,DDP-F002,Archère Pourpre,C,NM,,,1,,
Français (France),DDP,DDP-F003,Ryu-Ran,C,NM,,,1,,
Français (France),DDP,DDP-F004,Mage Illustionniste Anonyme,C,,NM,,3,,
Français (France),DDP,DDP-F005,Poupée Brigande,C,,NM,,1,,
Français (France),DDP,DDP-F006,Uraby,C,,NM,,2,,
Français (France),DDP,DDP-F007,Soldat Géant de Pierre,C,,NM,,2,,
Français (France),DDP,DDP-F008,Aqua Madoor,C,NM,,,1,,
Français (France),DDP,DDP-F009,Alligator Toon,C,NM,,,1,,
Français (France),DDP,DDP-F010,Hane-Hane,C,,NM,,2,,
Français (France),DDP,DDP-F011,Oiseau Supersonique,C,NM,,,1,,
Français (France),DDP,DDP-F011,Oiseau Supersonique,C,,NM,,3,,
Français (France),DDP,DDP-F012,Jigen Bakudan,C,,NM,,1,,
Français (France),DDP,DDP-F013,Masque des Ténèbres,C,NM,,,1,,
Français (France),DDP,DDP-F014,Sorcière de la Forêt Noire,C,NM,,,2,,
Français (France),DDP,DDP-F014,Sorcière de la Forêt Noire,C,,NM,,1,,
Français (France),DDP,DDP-F015,Insecte Mangeur d'Hommes,C,NM,,,1,,
Français (France),DDP,DDP-F016,Muka Muka,C,NM,,,1,,
Français (France),DDP,DDP-F017,Clown de Rêve,C,NM,,,1,,
Français (France),DDP,DDP-F018,Ninja Armé,C,NM,,,1,,
Français (France),DDP,DDP-F019,Éclaireur de Hiro,C,NM,,,1,,
Français (France),DDP,DDP-F020,Dragon Toon aux Yeux Bleus,C,NM,,,1,,
Français (France),DDP,DDP-F020,Dragon Toon aux Yeux Bleus,C,,NM,,2,,
Français (France),DDP,DDP-F021,Crâne Invoqué Toon,C,,NM,,1,,
Français (France),DDP,DDP-F022,Manga Ryu-Ran,C,NM,,,1,,
Français (France),DDP,DDP-F023,Sirène Toon,C,NM,,,1,,
Français (France),DDP,DDP-F024,Monde des Toons,C,NM,,,1,,
Français (France),DDP,DDP-F025,Pendentif Noir,C,,NM,,2,,
Français (France),DDP,DDP-F026,Trou Noir,C,,NM,,1,,
Français (France),DDP,DDP-F026,Trou Noir,C,NM,,,1,,
Français (France),DDP,DDP-F027,Dian Keto le Maître Guérisseur,C,,NM,,2,,
Français (France),DDP,DDP-F028,Fissure,C,NM,,,1,,
Français (France),DDP,DDP-F029,Exorcisme,C,,NM,,3,,
Français (France),DDP,DDP-F030,Changement de Coeur,C,NM,,,1,,
Français (France),DDP,DDP-F031,Stop Défense,C,NM,,,1,,
Français (France),DDP,DDP-F032,Typhon d'Espace Mystique,C,NM,,,1,,
Français (France),DDP,DDP-F033,Charge Intrépide,C,NM,,,1,,
Français (France),DDP,DDP-F034,Piège Supprimé,C,,NM,,2,,
Français (France),DDP,DDP-F035,Monster Reborn,C,NM,,,1,,
Français (France),DDP,DDP-F036,Libération d'Âme,C,NM,,,1,,
