SET,#,COST,NAME,TYPE,INK,RARITY,STR,WILL,LORE,MOVE COST,CLASSIFICATIONS,ABILITY,FRANCHISE,FLAVOR TEXT,ILLUSTRATORS,QUANTITY
ARI,043,1,Kanine Krunchies,Item,Amber,Common,,,,,,"YOU CAN BE A CHAMPION, TOO Your Puppy characters get +1 WILL.",101 Dalmatians,"""Happy dogs are those who eat nutritious Kanine Krunchies!""",Juan Diego Leon,0
ARI,030,4,Kenai - Protective Brother,Character,Amber,Rare,2,4,1,,Storyborn · Hero,"HE NEEDS ME At the end of your turn, if this character is exerted, you may ready another chosen character of yours and remove all damage from them.",Brother Bear,,Julien Vandois,0
ARI,020,4,King Candy - Royal Racer,Character,Dual Ink,Super Rare,2,2,2,,Storyborn · Villain · King · Racer,"SWEET REVENGE Whenever one of your other Racer characters is banished, each opponent chooses and banishes one of their characters.",Wreck-It Ralph,"""Get off of my track!""",Stefano Spagnuolo,0
ARI,003,5,King Stefan - New Father,Character,Amber,Common,4,7,1,,Storyborn · Mentor · King,,Sleeping Beauty,Every parent struggles with getting their baby to sleep. Kings are no different.,Mike Parker,0
ARI,034,3,Koda - Smallish Bear,Character,Amber,Uncommon,2,2,3,,Storyborn · Ally,,Brother Bear,"""And then they were like, 'How'd you catch so many fish, Koda?' And I said, 'Well, you know me. I know how to catch fish.' And they said . . .""",Jeanne Plounevez,0
ARI,028,5,Lady - Miss Park Avenue,Character,Dual Ink,Super Rare,4,4,2,,Floodborn · Hero,"Shift 3 ⬡ SOMETHING WONDERFUL When you play this character, you may return up to 2 character cards with cost 2 or less each from your discard to your hand.",Lady and the Tramp,,João Moura,0
ARI,016,3,Mariano Guzmán - Handsome Suitor,Character,Amber,Common,3,4,1,,Storyborn · Ally,"I SEE YOU While you have a character named Dolores Madrigal in play, this character gets +1 LORE.",Encanto,The puzzles of the heart are trickier than anything Archazia could come up with.,Samanta Erdini,0
ARI,031,2,Minnie Mouse - Storyteller,Character,Amber,Legendary,1,2,0,,Storyborn · Hero,"GATHER AROUND Whenever you play a character, this character gets +1 LORE this turn.   JUST ONE MORE Whenever this character quests, chosen opposing character loses STR equal to this character's LORE until the start of your next turn.",Mickey Mouse & Friends,,SCG,0
ARI,013,3,Mirabel Madrigal - Hopeful Dreamer,Character,Dual Ink,Uncommon,1,3,1,,Storyborn · Hero · Madrigal,"Evasive, Singer 5",Encanto,"""My family's amazing, and I'm in my family, so . . .""",Koni,0
ARI,035,6,Mirabel Madrigal - Musically Talented,Character,Dual Ink,Super Rare,2,6,2,,Floodborn · Hero · Madrigal,"Shift 4 ⬡ HER OWN SPECIAL GIFT Whenever this character quests, you may return a song card with cost 3 or less from your discard to your hand.",Encanto,,Eri Welli,0
ARI,009,5,Mittens - Sassy Street Cat,Character,Amber,Rare,4,5,2,,Dreamborn · Ally,"Bodyguard NO THANKS NECESSARY Once during your turn, whenever a card is put into your inkwell, your other characters with Bodyguard get +1 LORE this turn.",Bolt,,Brian Weisz,0
ARI,019,4,Pascal - Garden Chameleon,Character,Dual Ink,Uncommon,3,3,3,,Storyborn · Ally,Evasive,Tangled,"Once Pascal got into Archazia's flowerbeds, there was no getting him out.",Aubrey Archer,0
ARI,007,3,Peg - Natural Performer,Character,Dual Ink,Uncommon,2,4,1,,Storyborn · Ally,"CAPTIVE AUDIENCE Exert - If you have 3 or more characters in play, draw a card.",Lady and the Tramp,She was born to be a star no matter where she performed.,Mariana Moreno,0
ARI,021,2,Penny - Bolt's Person,Character,Dual Ink,Uncommon,1,2,2,,Storyborn · Ally,"ENDURING LOYALTY When you play this character, you may remove up to 2 damage from chosen character and they gain Resist +1 until the start of your next turn.",Bolt,,Aisha Durmagambetova,0
ARI,037,3,Pepa Madrigal - Sensitive Sister,Character,Amber,Common,2,4,1,,Storyborn · Ally · Madrigal,"CLEAR SKIES, CLEAR SKIES Whenever one or more of your characters sings a song, gain 1 lore.",Encanto,Archazia's calming presence helped Pepa dispel her dark mood.,Valentina Graziuso,0
ARI,002,4,Perdita - Playful Mother,Character,Dual Ink,Rare,1,4,2,,Storyborn · Hero,"WHO'S NEXT? Whenever this character quests, you pay 2 ⬡ less for the next Puppy character you play this turn.   DON'T BE AFRAID Your Puppy characters gain Ward.",101 Dalmatians,,Cécile Carre,0
ARI,032,3,Perla - Nimble Seamstress,Character,Dual Ink,Uncommon,3,2,1,,Storyborn · Ally,"Evasive, Support",Cinderella,,Kapik,0
ARI,029,6,Pongo - Dear Old Dad,Character,Dual Ink,Super Rare,5,5,2,,Storyborn · Hero,"FOUND YOU, YOU LITTLE RASCAL At the start of your turn, look at the cards in your inkwell. You may play a Puppy character from there for free.",101 Dalmatians,Tricks and traps are nothing for plucky pups.,Cécile Carre,0
ARI,039,1,Restoring the Heart,Action,Dual Ink,Uncommon,,,,,,Remove up to 3 damage from chosen character or location. Draw a card.,Moana,"The moment her heart was returned, greenery burst to life and restored Te Fiti to her rightful form.",Nicola Saviori / Livio Cacciatore,0
ARI,001,6,Rhino - Motivational Speaker,Character,Dual Ink,Rare,4,7,2,,Storyborn · Ally,DESTINY CALLING Your other character get +2 WILL.,Bolt,"""Don't forget, you are awesome. You can handle anything. Now channel your inner awesomeness and CLEAR THIS TRAP!""",Stefano Zanchi,0
ARI,005,1,Roger Radcliffe - Dog Lover,Character,Amber,Common,1,2,1,,Storyborn · Ally,"THERE YOU GO Whenever this character quests, you may remove up to 1 damage from each of your Puppy characters.",101 Dalmatians,The best part of completing the obstacle course was finding their human at the end.,Hedvig Häggman-Sund,0
ARI,033,4,Snow White - Fairest in the Land,Character,Amber,Uncommon,2,2,2,,Storyborn · Hero · Princess,HIDDEN AWAY This character can't be challenged.,Snow White and the Seven Dwarfs,A true heart can thwart many an evil scheme.,Mario Manzanares,0
ARI,038,2,So Much to Give,Action · Song,Amber,Common,,,,,,Draw a card. Chosen character gains Bodyguard until the start of your next turn.,Bolt,,Andrea Femerstrand,0
ARI,042,2,Spaghetti Dinner,Item,Amber,Common,,,,,,"FINE DINING Exert, 1 ⬡ - If you have 2 or more characters in play, gain 1 lore.",Lady and the Tramp,"""Hey, Tony's! Of course. The very place for a very special occasion."" - Tramp",Roberto Gatto,0
ARI,008,4,Suzy - Master Seamstress,Character,Amber,Common,3,4,2,,Storyborn · Ally,,Cinderella,"The devoted mice were excited to surprise Cinderella with a new dress. Smiling, Archazia gave them a spool of magic thread. ""This will make it perfect,"" she said.",Kapik,0
ARI,040,5,The Family Madrigal,Action · Song,Dual Ink,Rare,,,,,,Look at the top 5 cards of your deck. You may reveal up to 1 Madrigal character card and up to 1 song card and put them into your hand. Put the rest on the top of your deck in any order.,Encanto,,Juan Diego Leon,0
ARI,044,2,The Glass Slipper,Item,Amber,Rare,,,,,,"PERFECT PAIR You may only have 2 copies of The Glass Slipper in your deck.   SEARCH THE KINGDOM Banish this item, Exert one of your Prince characters - Search your deck for a Princess character card and reveal it to all players. Put that card into your hand and shuffle your deck.",Cinderella,,Tania Soler,0
ARI,024,2,The Prince - Vigilant Suitor,Character,Amber,Uncommon,0,5,1,,Storyborn · Hero · Prince,Bodyguard,Snow White and the Seven Dwarfs,,João Moura,0
ARI,011,2,The Troubadour - Musical Narrator,Character,Dual Ink,Uncommon,1,3,1,,Storyborn · Ally,"Resist +1, Singer 4","Mickey, Donald, Goofy: The Three Musketeers",,Carmine Pucci,0
ARI,023,5,Thunderbolt - Wonder Dog,Character,Dual Ink,Uncommon,3,7,2,,Floodborn · Hero,"Puppy Shift 3, Bodyguard",101 Dalmatians,,Max Grecke,0
ARI,010,7,Tramp - Street-Smart Dog,Character,Dual Ink,Rare,2,6,2,,Storyborn · Hero,"NOW IT'S A PARTY For each character you have in play, you pay 1 ⬡ less to play this character.   HOW'S PICKINGS? When you play this character, you may draw a card for each other character you have in play, then choose and discard that many cards.",Lady and the Tramp,,Alan Batson,0
ARI,006,2,Trusty - Loyal Bloodhound,Character,Amber,Common,2,2,1,,Storyborn · Ally,Support,Lady and the Tramp,"""As my grandpappy, Old Reliable, used to say, save your energy for when it matters.""",Yu Nguyén,0
ARI,012,7,Wendy Darling - Pirate Queen,Character,Dual Ink,Uncommon,5,7,2,,Dreamborn · Hero · Queen · Pirate · Captain,"Evasive TELL NO TALES Whenever one of your other characters is banished, you may remove all damage from chosen character.",Peter Pan,,Jochem van Gool,0
ARI,027,6,Wreck-It Ralph - Hero's Duty,Character,Amber,Rare,3,8,1,,Storyborn · Hero,"OUTFLANK During your turn, whenever one of your other characters is banished, this character gets +1 LORE this turn.",Wreck-It Ralph,"""I got that medal in the bag.""",Eri Welli,0
ARI,084,3,Amethyst Coil,Item,Amethyst,Uncommon,,,,,,"MAGICAL TOUCH During your turn, whenever a card is put into your inkwell, you may move 1 damage counter from chosen character to chosen opposing character.",Lorcana,"Shanzay's coil flared, sending a tendril of mystical energy toward the damaged glimmer.",Francesco Colucci,0
ARI,072,4,Anna - Ice Breaker,Character,Dual Ink,Uncommon,2,3,2,,Dreamborn · Hero · Queen · Sorcerer,"Support WINTER AMBUSH When you play this character, chosen opposing character can't ready at the start of their next turn.",Frozen,,Ian MacDonald,0
ARI,076,2,Archimedes - Exceptional Owl,Character,Amethyst,Uncommon,2,2,1,,Storyborn · Ally,"MORE TO LEARN Whenever an opponent chooses this character for an action or ability, you may draw a card.",The Sword in the Stone,Archazia's library was a treasure trove of knowledge even for such an educated owl.,Luis Huerta,0
ARI,060,3,Bucky - Nutty Rascal,Character,Amethyst,Common,3,2,1,,Dreamborn · Ally,"POP! When this character is banished in a challenge, you may draw a card.",The Emperor's New Groove,"""Oh, hang on. I love this bit! He pops the balloon and all those acorns go flying out. Gets me every time."" - Kronk",Kenneth Anderson,0
ARI,050,5,Chernabog - Creature of the Night,Character,Amethyst,Rare,2,6,1,,Storyborn · Villain,"MIDNIGHT REVEL When you play this character, each opponent chooses and exerts one of their ready characters. They can't ready at the start of their next turn.",Fantasia,,Giulia Riva,0
ARI,066,2,Diablo - Spiteful Raven,Character,Dual Ink,Uncommon,1,2,1,,Storyborn · Ally,"Evasive, Challenger +2",Sleeping Beauty,,Mike Parker,0
ARI,078,1,Dolores Madrigal - Within Earshot,Character,Amethyst,Common,1,2,1,,Storyborn · Ally · Madrigal,"I HEAR YOU Whenever one of your characters sings a song, chosen opponent reveals their hand.",Encanto,"She heard Mariano's heart skip a beat. Was it because of the puzzle, or was he looking at her?",Samanta Erdini,0
ARI,073,7,Donald Duck - Flustered Sorcerer,Character,Amethyst,Legendary,5,6,3,,Dreamborn · Ally · Sorcerer,OBFUSCATE! Opponents need 25 lore to win the game.,Mickey Mouse & Friends,"When it comes to magic spells, proper pronunciation is key.",Eri Welli,0
ARI,069,7,Elsa - Ice Maker,Character,Dual Ink,Super Rare,5,5,2,,Floodborn · Hero · Queen · Sorcerer,"Shift 4 ⬡ WINTER WALL Whenever this character quests, you may exert chosen character. If you do and you have a character named Anna in play, the chosen character can't ready at the start of their next turn.",Frozen,,Ian MacDonald,0
ARI,055,2,Elsa - Trusted Sister,Character,Amethyst,Common,2,3,1,,Storyborn · Hero · Queen · Sorcerer,"WHAT DO WE DO NOW? Whenever this character quests, if you have a character named Anna in play, gain 1 lore.",Frozen,"""Fear is what can't be trusted.""",Amber Kommavongsa,0
ARI,057,3,Giant Cobra - Ghostly Serpent,Character,Dual Ink,Uncommon,4,4,1,,Dreamborn · Ally · Illusion,"Vanish MYSTERIOUS ADVANTAGE When you play this character, you may choose and discard a card to gain 2 lore.",Aladdin,,Nicola Saviori,0
ARI,052,6,Hades - Fast Talker,Character,Dual Ink,Rare,4,6,2,,Storyborn · Villain · Deity,"FOR JUST A LITTLE PAIN When you play this character, you may deal 2 damage to another chosen character of yours to banish chosen character with cost 3 or less.",Hercules,""". . . You get a whole lotta gain.""",Cristian Romero,0
ARI,048,2,Honeymaren - Northuldra Guide,Character,Amethyst,Common,2,2,1,,Storyborn · Ally,"TALE OF THE FIFTH SPIRIT When you play this character, if an opponent has an exerted character in play, gain 1 lore.",Frozen,"""It's said to be a bridge between us and the magic of nature.""",Alexandria Neonakis,0
ARI,049,4,Iago - Giant Spectral Parrot,Character,Amethyst,Rare,4,6,1,,Dreamborn · Ally · Illusion,"Evasive, Vanish",Aladdin,,John Loren / Nicholas Kole,0
ARI,051,4,Jafar - Newly Crowned,Character,Dual Ink,Super Rare,2,4,2,,Dreamborn · Villain · Sorcerer,"THIS IS NOT DONE YET During an opponent's turn, whenever one of your Illusion characters is banished, you may return that card to your hand.",Aladdin,"""Now that the Hexwell Crown is finally mine, no force in Lorcana can stand against me!""",John Loren / Nicholas Kole,0
ARI,077,3,Kashekim - Ancient Ruler,Character,Amethyst,Uncommon,4,3,1,,Storyborn · King,,Atlantis,"""You presume much, to think you are welcome here.""",Jocelyn Sepulveda,0
ARI,070,3,Kenai - Magical Bear,Character,Amethyst,Rare,1,4,1,,Storyborn · Hero,"Challenger +2 WISDOM OF HIS STORY During your turn, when this character is banished in a challenge, return this card to your hand and gain 1 lore.",Brother Bear,,Jeanne Plounevez,0
ARI,063,5,Kronk - Laid Back,Character,Dual Ink,Rare,4,4,2,,Storyborn · Ally,"Ward I'M LOVIN' THIS If an effect would cause you to discard one or more cards, you don't discard.",The Emperor's New Groove,,Tony Bancroft / Lindsay Weyman,0
ARI,071,4,Kuzco - Panicked Llama,Character,Dual Ink,Uncommon,2,2,2,,Storyborn · King,"Evasive WE CAN FIGURE THIS OUT At the start of your turn, choose one:   - Each player draws a card.   - Each player chooses and discards a card.",The Emperor's New Groove,,Florencia Vazquez,0
ARI,045,5,Kuzco - Temporary Whale,Character,Amethyst,Rare,1,4,2,,Storyborn · King,"DON'T YOU SAY A WORD Once during your turn, whenever a card is put into your inkwell, you may return chosen character, item, or location with cost 2 or less to their player's hand, then that player draws a card.",The Emperor's New Groove,,Luca Pinelli,0
ARI,056,6,Madam Mim - Cheating Spellcaster,Character,Amethyst,Rare,4,5,2,,Storyborn · Villain · Sorcerer,"PLAY ROUGH Whenever this character quests, exert chosen opposing character.",The Sword in the Stone,"""She only wants rules so she can break them!"" - Archimedes",Jocelyn Sepulveda,0
ARI,053,4,Madame Medusa - Diamond Lover,Character,Dual Ink,Uncommon,3,4,1,,Storyborn · Villain,"SEARCH THE SWAMP Whenever this character quests, you may deal 2 damage to another chosen character of yours to put the top 3 cards of chosen player's deck into their discard.",The Rescuers,,Roger Pérez,0
ARI,080,2,Magical Maneuvers,Action,Amethyst,Uncommon,,,,,,Return chosen character of yours to your hand. Exert chosen character.,Sleeping Beauty,"""Oh, I'm sure it's fine if we move these traps around. Archazia won't mind a little magic."" - Flora",Jennifer Wu,0
ARI,067,1,Merlin - Clever Clairvoyant,Character,Dual Ink,Rare,0,1,1,,Storyborn · Mentor · Sorcerer,"PRESTIDIGITONIUM Whenever this character quests, name a card, then reveal the top card of your deck. If it's the named card, put it into your inkwell facedown and exerted. Otherwise, put it on the top of your deck.",The Sword in the Stone,,Cam Kendell,0
ARI,064,3,Mother Gothel - Vain Sorceress,Character,Dual Ink,Uncommon,1,4,1,,Storyborn · Villain · Sorcerer,"NOW YOU'VE UPSET ME Whenever one of your characters challenges, you may move 1 damage counter from chosen character to chosen opposing character.",Tangled,,Ian MacDonald,0
ARI,079,7,Mufasa - Among the Stars,Character,Dual Ink,Uncommon,5,7,2,,Floodborn · Mentor · King,"Shift 5 ⬡, Evasive, Resist +1",The Lion King,,Andrea Femerstrand,0
ARI,061,1,Pain - Impudent Imp,Character,Amethyst,Common,1,3,1,,Storyborn · Ally,,Hercules,"""Um, wasn't there something the boss wanted us to take care of? Was it testing these arrows?""",Arianna Rea,0
ARI,075,4,Panic - High-Strung Imp,Character,Amethyst,Common,2,3,2,,Storyborn · Ally,"STARTLED SHRIEK When you play this character, you may move up to 2 damage counters from chosen character to chosen opposing character.",Hercules,"""What the boss doesn't know won't hurt us. Much. I hope.""",Arianna Rea,0
ARI,062,2,Rajah - Ghostly Tiger,Character,Amethyst,Common,3,3,1,,Dreamborn · Ally · Illusion,Vanish,Aladdin,"He may be spectral, but the danger is very real.",Andrea Femerstrand,0
ARI,083,6,Restoring the Crown,Action,Dual Ink,Rare,,,,,,"Exert all opposing characters. Whenever one of your characters banishes another character in a challenge this turn, gain 2 lore.",Aladdin,"The Hexwell surged with pure creative energy, fusing the crown's pieces in a final burst or power.",Jochem van Gool,0
ARI,082,2,Show Me More!,Action,Amethyst,Super Rare,,,,,,Each player draws 3 cards.,Snow White and the Seven Dwarfs,"""Weave of time, attend to me–   Reveal the moments soon to be!""",Natalie Dombois,0
ARI,065,5,Sven - Keen-Eyed Reindeer,Character,Dual Ink,Uncommon,2,6,1,,Storyborn · Ally,"Rush FORMIDABLE GLARE When you play this character, chosen character gets -3 STR this turn.",Frozen,,Juan Diego Leon,0
ARI,046,4,Tanana - Tribal Elder,Character,Amethyst,Common,4,4,1,,Storyborn · Ally,,Brother Bear,"""This is a place of wonder and learning. Pay attention to the Owl and see what she can teach you.""",Filipe Laurentino,0
ARI,054,10,Te Kā - Elemental Terror,Character,Dual Ink,Super Rare,12,12,3,,Floodborn · Villain · Deity,"Shift 7 ⬡ ANCIENT RAGE During your turn, whenever an opposing character is exerted, banish them.",Moana,,Nicola Saviori,0
ARI,058,6,Te Kā - Lava Monster,Character,Amethyst,Common,5,6,2,,Storyborn · Villain · Deity,Challenger +2,Moana,"""You wanna get to Te Fiti, you have to go through a whole ocean of bad. Not to mention Te Kā."" - Maui",Max Grecke,0
ARI,074,4,The Queen - Jealous Beauty,Character,Amethyst,Legendary,4,3,1,,Storyborn · Villain · Queen · Sorcerer,"NO ORDINARY APPLE Choose 3 cards from chosen opponent's discard and put them on the bottom of their deck to gain 3 lore. If any Princess cards were moved this way, gain 4 lore instead.",Snow White and the Seven Dwarfs,,Malia Ewart,0
ARI,081,2,This is My Family,Action · Song,Amethyst,Common,,,,,,Gain 1 lore. Draw a card.,Encanto,"So many stars, and everybody gets to shine",Cristian Romero,0
ARI,047,4,Treasure Guardian - Foreboding Sentry,Character,Amethyst,Common,3,3,2,,Storyborn,"UNTOLD TREASURE When you play this character, if you have an Illusion character in play, you may draw a card.",Aladdin,"""At last, after all my years of searching!"" - Jafar",Alexandria Neonakis,0
ARI,068,7,Yzma - Above It All,Character,Dual Ink,Super Rare,3,8,2,,Floodborn · Villain · Queen,"Shift 5 ⬡, Evasive BACK TO WORK Whenever another character is banished in a challenge, return that card to its player's hand, then that player discards a card at random.",The Emperor's New Groove,,Cristian Romero,0
ARI,059,2,Yzma - Transformed Kitten,Character,Amethyst,Common,2,1,1,,Storyborn · Villain · Sorcerer,"I WIN When this character is banished, if you have more cards in your hand than each opponent, you may return this card to your hand.",The Emperor's New Groove,"""Yes, I've already finished this course. I'm still going to bounce a few more times.""",OggysonArt,0
ARI,113,3,Anastasia - Bossy Stepsister,Character,Emerald,Uncommon,3,1,2,,Storyborn · Ally,"OH, I HATE THIS! Whenever this character is challenged, the challenging player chooses and discards a card.",Cinderella,"""Out of my way! I'm going to be the first to finish!""",Rianti Hidayat,0
ARI,093,6,Basil - Secret Informer,Character,Emerald,Rare,3,6,3,,Dreamborn · Hero · Detective,"DRAW THEM OUT Whenever this character quests, opposing damaged characters gain Reckless during their next turn.",The Great Mouse Detective,"""The final part of the crown! Jafar will be pleased.""",Valerio Buonfantino,0
ARI,104,6,Baymax - Giant Robot,Character,Dual Ink,Uncommon,5,5,2,,Floodborn · Hero · Robot,"Universal Shift 4 ⬡ FUNCTIONALITY IMPROVED When you play this character, if you used Shift to play him, remove all damage from him.",Big Hero 6,,Valerio Buonfantino,0
ARI,087,2,Baymax - Low Battery,Character,Emerald,Common,3,2,2,,Storyborn · Hero · Robot,SHHHHH This character enters play exerted.,Big Hero 6,"""Processing data from Archazia's thought scrolls is taking a great deal of power. Extreme battery saver protocol engaged.""",McKay Anderson,0
ARI,099,3,Berlioz - Mischievous Kitten,Character,Emerald,Common,2,5,1,,Storyborn · Ally,,The Aristocats,"""Look what I found! Can we stay here and play?""",Geoffrey Boudout,0
ARI,091,5,Cheshire Cat - Perplexing Feline,Character,Emerald,Common,4,3,2,,Storyborn,"MAD GRIN When you play this character, you may deal 2 damage to chosen damaged character.",Alice in Wonderland,"""He's not your average cat, after all. Then again, what cat is?"" - Archazia",Sandara Tang,0
ARI,108,8,Daisy Duck - Multitalented Pirate,Character,Emerald,Rare,6,5,3,,Dreamborn · Hero · Pirate · Captain,"FOWL PLAY Once during your turn, whenever a card is put into your inkwell, chosen opponent chooses one of their characters and returns that card to their hand.",Mickey Mouse & Friends,"A captain must be inventive, commanding, and unafraid of trampolines.",Emily Abeydeera,0
ARI,098,2,Donald Duck - Lively Pirate,Character,Emerald,Rare,1,1,2,,Dreamborn · Hero · Pirate,"DUCK OF ACTION Whenever this character is challenged, you may return an action card that isn't a song card from your discard to your hand.",Mickey Mouse & Friends,"""Aye aye, Captain! I'll get it done.""",João Moura,0
ARI,085,4,Drizella - Spoiled Stepsister,Character,Emerald,Common,4,4,1,,Storyborn · Ally,,Cinderella,"Once again, Drizella was confronted with a simple truth: life wasn't fair.",Rianti Hidayat,0
ARI,112,2,Duchess - Elegant Feline,Character,Emerald,Uncommon,3,2,1,,Storyborn · Hero,,The Aristocats,"""Now darlings, pay close attention to where we are. What can you learn about the Owl from the house?""",Therese Vildefall,0
ARI,120,3,Emerald Coil,Item,Emerald,Uncommon,,,,,,"SHIMMERING WINGS During your turn, whenever a card is put into your inkwell, chosen character gains Evasive until the start of your next turn.",Lorcana,The coil Martin wore lifted his spirits as well as his body.,Francesco Colucci,0
ARI,106,4,Fidget - Sneaky Bat,Character,Dual Ink,Uncommon,2,3,2,,Storyborn · Ally,"Evasive I TOOK CARE OF EVERYTHING Whenever this character quests, another chosen character of yours gains Evasive until the start of your next turn.",The Great Mouse Detective,,Ian MacDonald,0
ARI,105,4,Gizmoduck - Suited Up,Character,Dual Ink,Uncommon,4,3,1,,Storyborn · Inventor,Resist +1 BLATHERING BLATHERSKITE This character can challenge ready damaged characters.,DuckTales,,Cam Kendell,0
ARI,086,2,Grewnge - Cannon Expert,Character,Emerald,Common,2,2,1,,Storyborn · Ally · Pirate,"RAPID FIRE Whenever this character quests, you pay 1 ⬡ less for the next action you play this turn.",Treasure Planet,He loves two things: explosions and even more explosions.,Simangaliso Sibaya / Mario Manzanares,0
ARI,117,1,He's a Tramp,Action · Song,Emerald,Common,,,,,,Chosen character gets +1 STR this turn for each character you have in play.,Lady and the Tramp,Wish that I could travel his way,Isaiah Mesq,0
ARI,096,7,Hiro Hamada - Armor Designer,Character,Dual Ink,Super Rare,4,6,3,,Floodborn · Hero · Inventor,Shift 5 ⬡ YOU CAN BE WAY MORE Your Floodborn characters that have a card under them gain Evasive and Ward.,Big Hero 6,,Alan Batson,0
ARI,090,3,Hiro Hamada - Future Champion,Character,Emerald,Common,3,3,1,,Storyborn · Hero · Inventor,"ORIGIN STORY When you play a Floodborn character on this card, draw a card.",Big Hero 6,"Even with a mind as brilliant as his, the mixed ink was a unique puzzle to solve.",Jennifer Wu,0
ARI,119,3,Ink Geyser,Action,Dual Ink,Rare,,,,,,Each player exerts all the cards in their inkwell. Then each player with more than 3 cards in their inkwell returns cards at random from their inkwell to their hand until they have 3 cards in their inkwell.,Lorcana,,Kevin Sidharta,0
ARI,109,8,John Silver - Vengeful Pirate,Character,Dual Ink,Rare,6,4,2,,Storyborn · Villain · Alien · Pirate · Captain,"DRAWN TO A FIGHT If an opposing character was damaged this turn, you pay 2 ⬡ less to play this character.   Resist +1   I AIN'T GONE SOFT! Whenever you play an action that isn't a song, you may deal 1 damage to chosen character.",Treasure Planet,,Nicholas Kole,0
ARI,111,4,King of Hearts - Picky Ruler,Character,Emerald,Rare,3,3,2,,Storyborn · Ally · King,OBJECTIONABLE STATE Damaged characters can't challenge your characters.,Alice in Wonderland,"""You there! You can't be here in the state you're in. Begone before the Queen sees this mess!""",Isaiah Mesq,0
ARI,100,1,Lady - Elegant Spaniel,Character,Emerald,Common,1,2,1,,Storyborn · Hero,"A DOG'S LIFE While you have a character named Tramp in play, this character gets +1 LORE.",Lady and the Tramp,"""Are you sure we're allowed in here? Jim Dear would never allow me in the kitchen.""",Sara Leal (Loyal),0
ARI,115,6,Lady Tremaine - Bitterly Jealous,Character,Emerald,Legendary,3,3,1,,Storyborn · Villain,"THAT'S QUITE ENOUGH! Exert - Return chosen damaged character to their player's hand. Then, each opponent discards a card at random.",Cinderella,,Gaku Kumatori,0
ARI,094,6,Mad Hatter - Unruly Eccentric,Character,Dual Ink,Rare,3,5,2,,Storyborn,"UNBIRTHDAY PRESENT Whenever a damaged character challenges another character, you may draw a card.",Alice in Wonderland,"""Don't you care for tea?""",John Loren / Nicholas Kole,0
